USAF,WBAN,STATION NAME,CTRY,ST,CALL,LAT,LON,ELEV(M),BEGIN,END
012520,99999,BERKAK-LYNGHOLT,NO,,,+62.817,+010.017,+0475.0,19730101,20080930
012530,99999,SOKNEDAL,NO,,,+62.950,+010.183,+0299.0,20090112,20150513
012540,99999,KOTSOY,NO,,,+62.983,+010.550,+0127.0,20090112,20150513
012570,99999,TRONDHEIM/VOLL,NO,,,+63.417,+010.450,+0131.5,20040406,20150513
012580,99999,TRONDHEIM (TYHOLT),NO,,,+63.417,+010.433,+0113.0,19730101,19810714
012590,99999,BUHOLMRASA LH,NO,,,+64.400,+010.450,+0018.4,19730101,20150513
012620,99999,NORDOYAN FYR,NO,,,+64.800,+010.550,+0033.0,19280102,20150513
012650,99999,TYNSET-HANSMOEN,NO,,,+62.267,+010.733,+0482.3,19490101,20150513
012700,99999,KVITHAMAR,NO,,,+63.483,+010.883,+0040.0,20111003,20150513
012710,99999,VAERNES,NO,,ENVA,+63.458,+010.940,+0017.1,19400413,20150513
012720,99999,FROSTA,NO,,,+63.567,+010.700,+0070.0,20110929,20150513
012730,99999,SELBU,NO,,,+63.233,+011.017,+0160.0,20071016,20150513
012740,99999,SELBU-STUBBE,NO,,,+63.200,+011.117,+0242.0,19730101,20061115
012770,99999,STEINKJER,NO,,,+64.017,+011.450,+0080.0,19730101,20150513
012771,99999,LEVANGER-EGGEN,NO,,,+63.717,+011.233,+0097.0,19730101,19730216
012780,99999,VERDAL-REPPE,NO,,,+63.783,+011.683,+0083.0,19850102,20150512
012800,99999,NAMDALSEID-VENGSTAD,NO,,,+64.133,+011.333,+0118.0,19730101,20081231
012810,99999,NAMSSKOGAN,NO,,,+64.733,+012.850,+0140.0,20070105,20150513
012820,99999,RORVIK/RYUM,NO,,ENRM,+64.850,+011.233,+0014.0,19950901,20150513
012823,99999,RORVIK/RYUM,NO,,,+64.850,+011.233,+0014.0,19910827,19950831
012870,99999,SOLENDET,NO,,,+62.683,+011.817,+0747.0,20080115,20150513
